Date,Event,Actual,Forecast,Previous
jul25.2007,US Distillate Inventories,1.4M,0.8M,-0.1M
jul25.2007,US Gasoline Inventories,0.8M,0.2M,-2.2M
jul26.2007,US Natural Gas Storage,71B,70B,65B
jul27.2007,US Advance GDP q/q,3.4%,3.2%,0.7%
jul31.2007,EZ Consumer Confidence,-2,-2,-2
aug01.2007,US ISM Manufacturing PMI,53.8,55.7,56.0
aug01.2007,US Crude Oil Inventories,-6.5M,-1.0M,-1.1M
aug01.2007,US Distillate Inventories,2.9M,1.3M,1.4M
aug01.2007,US Gasoline Inventories,0.6M,0.0M,0.8M
aug02.2007,US Factory Orders m/m,0.6%,1.2%,-0.5%
aug02.2007,US Natural Gas Storage,77B,74B,71B
aug03.2007,US Average Hourly Earnings m/m,0.3%,0.3%,0.4%
aug03.2007,US Non-Farm Employment Change,92K,135K,126K
aug03.2007,US Unemployment Rate,4.6%,4.5%,4.5%
aug03.2007,US ISM Services PMI,55.8,59.5,60.7
aug08.2007,US Crude Oil Inventories,-4.1M,-2.8M,-6.5M
aug08.2007,US Distillate Inventories,1.0M,1.7M,2.9M
aug08.2007,US Gasoline Inventories,-1.7M,0.8M,0.6M
aug09.2007,US Natural Gas Storage,42B,50B,77B
aug10.2007,CA Employment Change,11.3K,21.0K,34.8K
aug10.2007,CA Unemployment Rate,6.0%,6.1%,6.1%
aug13.2007,US Retail Sales m/m,0.3%,0.3%,-0.7%
aug14.2007,US Trade Balance,-58.1B,-61.0B,-59.2B
aug15.2007,US Core CPI m/m,0.2%,0.2%,0.2%
aug15.2007,US CPI m/m,0.1%,0.2%,0.2%
aug15.2007,US Capacity Utilization Rate,81.9%,81.8%,81.8%
aug15.2007,US Industrial Production m/m,0.3%,0.3%,0.6%
aug15.2007,US Crude Oil Inventories,-5.2M,-2.5M,-4.1M
aug15.2007,US Distillate Inventories,0.2M,1.3M,1.0M
aug15.2007,US Gasoline Inventories,-1.1M,-0.7M,-1.7M
aug16.2007,US Natural Gas Storage,21B,24B,42B
aug22.2007,US Crude Oil Inventories,1.9M,-2.8M,-5.2M
aug22.2007,US Distillate Inventories,1.4M,0.9M,0.2M
aug22.2007,US Gasoline Inventories,-5.7M,-0.8M,-1.1M
aug23.2007,US Natural Gas Storage,23B,29B,21B
aug29.2007,US Crude Oil Inventories,-3.5M,-0.6M,1.9M
aug29.2007,US Distillate Inventories,0.9M,0.8M,1.4M
aug29.2007,US Gasoline Inventories,-3.7M,-2.5M,-5.7M
aug30.2007,US Natural Gas Storage,43B,40B,23B
aug31.2007,EZ Consumer Confidence,-3,-2,-2
aug31.2007,US Factory Orders m/m,3.7%,3.3%,1.0%
sep04.2007,US ISM Manufacturing PMI,52.9,53.2,53.8
sep06.2007,US ISM Services PMI,55.8,54.5,55.8
sep06.2007,US Crude Oil Inventories,-4.0M,-2.1M,-3.5M
sep06.2007,US Distillate Inventories,2.3M,1.0M,0.9M
sep06.2007,US Gasoline Inventories,-1.5M,-1.3M,-3.7M
sep06.2007,US Natural Gas Storage,36B,44B,43B
sep07.2007,CA Employment Change,23.3K,15.3K,11.3K
sep07.2007,CA Unemployment Rate,6.0%,6.1%,6.0%
sep07.2007,US Average Hourly Earnings m/m,0.3%,0.3%,0.3%
sep07.2007,US Non-Farm Employment Change,-4K,110K,68K
sep07.2007,US Unemployment Rate,4.6%,4.6%,4.6%
sep11.2007,US Trade Balance,-59.2B,-59.0B,-59.4B
sep12.2007,US Crude Oil Inventories,-7.0M,-2.7M,-4.0M
sep12.2007,US Distillate Inventories,1.8M,1.9M,2.3M
sep12.2007,US Gasoline Inventories,-0.7M,-0.5M,-1.5M
sep13.2007,US Natural Gas Storage,64B,61B,36B
sep14.2007,US Retail Sales m/m,0.3%,0.6%,0.5%
sep14.2007,US Capacity Utilization Rate,82.2%,82.0%,82.2%
sep14.2007,US Industrial Production m/m,0.2%,0.3%,0.5%
sep19.2007,US Core CPI m/m,0.2%,0.2%,0.2%
sep19.2007,US CPI m/m,-0.1%,0.0%,0.1%
sep19.2007,US Crude Oil Inventories,-3.9M,-2.0M,-7.0M
sep19.2007,US Distillate Inventories,1.6M,1.2M,1.8M
sep19.2007,US Gasoline Inventories,0.4M,-1.0M,-0.7M
sep20.2007,US Natural Gas Storage,63B,66B,64B
sep26.2007,US Crude Oil Inventories,1.8M,-2.1M,-3.9M
sep26.2007,US Distillate Inventories,1.5M,1.1M,1.6M
sep26.2007,US Gasoline Inventories,0.5M,-0.3M,0.4M
sep27.2007,US Natural Gas Storage,74B,73B,63B
sep28.2007,EZ Consumer Confidence,-5,-4,-4
oct01.2007,US ISM Manufacturing PMI,52.0,52.8,52.9
oct03.2007,US ISM Services PMI,54.8,55.0,55.8
oct03.2007,US Crude Oil Inventories,1.1M,-0.5M,1.8M
oct03.2007,US Distillate Inventories,-1.2M,1.3M,1.5M
oct03.2007,US Gasoline Inventories,0.0M,0.5M,0.5M
oct04.2007,US Factory Orders m/m,-3.3%,-2.6%,3.4%
oct04.2007,US Natural Gas Storage,57B,64B,74B
oct05.2007,CA Employment Change,51.1K,16.5K,23.3K
oct05.2007,CA Unemployment Rate,5.9%,6.1%,6.0%
oct05.2007,US Average Hourly Earnings m/m,0.4%,0.3%,0.3%
oct05.2007,US Non-Farm Employment Change,110K,100K,89K
oct05.2007,US Unemployment Rate,4.7%,4.7%,4.6%
oct11.2007,US Trade Balance,-57.6B,-58.8B,-59.2B
oct11.2007,US Crude Oil Inventories,-1.7M,1.1M,1.1M
oct11.2007,US Distillate Inventories,-0.6M,-0.8M,-1.2M
oct11.2007,US Gasoline Inventories,1.7M,-0.4M,0.0M
oct11.2007,US Natural Gas Storage,73B,70B,57B
oct12.2007,US Retail Sales m/m,0.6%,0.3%,0.3%
oct17.2007,US Core CPI m/m,0.2%,0.2%,0.2%
oct17.2007,US CPI m/m,0.3%,0.2%,-0.1%
oct17.2007,US Crude Oil Inventories,1.8M,0.8M,-1.7M
oct17.2007,US Distillate Inventories,1.0M,-0.7M,-0.6M
oct17.2007,US Gasoline Inventories,2.8M,0.4M,1.7M
oct18.2007,US Natural Gas Storage,39B,50B,73B
oct24.2007,US Crude Oil Inventories,-5.3M,1.0M,1.8M
oct24.2007,US Distillate Inventories,-1.8M,0.3M,1.0M
oct24.2007,US Gasoline Inventories,-1.9M,0.5M,2.8M
oct25.2007,US Natural Gas Storage,68B,54B,39B
oct31.2007,EZ Consumer Confidence,-6,-5,-6
oct31.2007,US Advance GDP q/q,3.9%,3.1%,3.8%
oct31.2007,US Crude Oil Inventories,-3.9M,0.4M,-5.3M
oct31.2007,US Distillate Inventories,0.8M,-1.0M,-1.8M
oct31.2007,US Gasoline Inventories,1.3M,-0.2M,-1.9M
nov01.2007,US ISM Manufacturing PMI,50.9,51.7,52.0
nov01.2007,US Natural Gas Storage,66B,59B,68B
nov02.2007,CA Employment Change,63.0K,12.0K,51.1K
nov02.2007,CA Unemployment Rate,5.8%,5.9%,5.9%
nov02.2007,US Average Hourly Earnings m/m,0.2%,0.3%,0.3%
nov02.2007,US Non-Farm Employment Change,166K,82K,96K
nov02.2007,US Unemployment Rate,4.7%,4.7%,4.7%
nov02.2007,US Factory Orders m/m,0.2%,-0.5%,-3.5%
nov05.2007,US ISM Services PMI,55.8,54.0,54.8
nov07.2007,US Crude Oil Inventories,-0.8M,-1.3M,-3.9M
nov07.2007,US Distillate Inventories,0.1M,-0.5M,0.8M
nov07.2007,US Gasoline Inventories,-0.8M,0.0M,1.3M
nov08.2007,US Natural Gas Storage,36B,30B,66B
nov09.2007,US Trade Balance,-56.5B,-59.0B,-56.8B
nov14.2007,US Retail Sales m/m,0.2%,0.2%,0.7%
nov15.2007,US Core CPI m/m,0.2%,0.2%,0.2%
nov15.2007,US CPI m/m,0.3%,0.3%,0.3%
nov15.2007,US Crude Oil Inventories,2.8M,-0.8M,-0.8M
nov15.2007,US Distillate Inventories,2.0M,-0.2M,0.1M
nov15.2007,US Gasoline Inventories,0.7M,-0.4M,-0.8M
nov15.2007,US Natural Gas Storage,-9B,-8B,36B
nov16.2007,US Capacity Utilization Rate,81.7%,82.0%,82.2%
nov16.2007,US Industrial Production m/m,-0.5%,0.1%,0.2%
nov21.2007,US Crude Oil Inventories,-1.1M,0.8M,2.8M
nov21.2007,US Distillate Inventories,-2.4M,-0.5M,2.0M
nov21.2007,US Gasoline Inventories,0.2M,0.9M,0.7M
nov21.2007,US Natural Gas Storage,4B,2B,-9B
nov28.2007,US Crude Oil Inventories,-0.5M,-1.0M,-1.1M
nov28.2007,US Distillate Inventories,-0.1M,-1.2M,-2.4M
nov28.2007,US Gasoline Inventories,1.4M,0.5M,0.2M
nov29.2007,US Natural Gas Storage,-12B,-20B,4B
nov30.2007,EZ Consumer Confidence,-8,-6,-6
dec03.2007,US ISM Manufacturing PMI,50.8,50.5,50.9
dec05.2007,US Factory Orders m/m,0.5%,0.1%,0.3%
dec05.2007,US ISM Services PMI,54.1,55.0,55.8
dec05.2007,US Crude Oil Inventories,-7.9M,-1.3M,-0.5M
dec05.2007,US Distillate Inventories,1.4M,-0.3M,-0.1M
dec05.2007,US Gasoline Inventories,4.0M,0.6M,1.4M
dec06.2007,US Natural Gas Storage,-88B,-79B,-12B
dec07.2007,CA Employment Change,42.6K,8.0K,63.0K
dec07.2007,CA Unemployment Rate,5.9%,5.9%,5.8%
dec07.2007,US Average Hourly Earnings m/m,0.5%,0.3%,0.1%
dec07.2007,US Non-Farm Employment Change,94K,75K,170K
dec07.2007,US Unemployment Rate,4.7%,4.8%,4.7%
dec12.2007,US Trade Balance,-57.8B,-57.3B,-57.1B
dec12.2007,US Crude Oil Inventories,-0.7M,-0.9M,-7.9M
dec12.2007,US Distillate Inventories,-0.8M,0.5M,1.4M
dec12.2007,US Gasoline Inventories,1.6M,1.0M,4.0M
dec13.2007,US Retail Sales m/m,1.2%,0.5%,0.2%
dec13.2007,US Natural Gas Storage,-146B,-127B,-88B
dec14.2007,US Core CPI m/m,0.3%,0.2%,0.2%
dec14.2007,US CPI m/m,0.8%,0.6%,0.3%
dec14.2007,US Capacity Utilization Rate,81.5%,81.7%,81.4%
dec14.2007,US Industrial Production m/m,0.3%,0.1%,-0.7%
dec19.2007,US Crude Oil Inventories,-7.6M,-1.5M,-0.7M
dec19.2007,US Distillate Inventories,-2.2M,-0.5M,-0.8M
dec19.2007,US Gasoline Inventories,3.0M,0.8M,1.6M
dec20.2007,US Natural Gas Storage,-121B,-133B,-146B
dec27.2007,US Crude Oil Inventories,-3.3M,-1.4M,-7.6M
dec27.2007,US Distillate Inventories,-2.8M,-0.9M,-2.2M
dec27.2007,US Gasoline Inventories,0.6M,1.4M,3.0M
dec28.2007,US Natural Gas Storage,-165B,-155B,-121B
jan02.2008,US ISM Manufacturing PMI,47.7,50.7,50.8
jan03.2008,US Factory Orders m/m,1.5%,0.5%,0.7%
jan03.2008,US Crude Oil Inventories,-4.0M,-2.3M,-3.3M
jan03.2008,US Distillate Inventories,0.6M,-0.6M,-2.8M
jan03.2008,US Gasoline Inventories,2.0M,1.5M,0.6M
jan04.2008,US Average Hourly Earnings m/m,0.4%,0.3%,0.4%
jan04.2008,US Non-Farm Employment Change,18K,70K,115K
jan04.2008,US Unemployment Rate,5.0%,4.8%,4.7%
jan04.2008,US ISM Services PMI,53.9,53.5,54.1
jan04.2008,US Natural Gas Storage,-87B,-110B,-165B
jan07.2008,EZ Consumer Confidence,-9,-8,-8
jan09.2008,US Crude Oil Inventories,-6.7M,-2.1M,-4.0M
jan09.2008,US Distillate Inventories,1.5M,1.0M,0.6M
jan09.2008,US Gasoline Inventories,5.2M,1.6M,2.0M
jan10.2008,US Natural Gas Storage,-171B,-163B,-87B
jan11.2008,CA Employment Change,-18.7K,15.0K,42.6K
jan11.2008,CA Unemployment Rate,5.9%,5.9%,5.9%
jan11.2008,US Trade Balance,-63.1B,-59.5B,-57.8B
jan15.2008,US Retail Sales m/m,-0.4%,0.0%,1.0%
jan16.2008,US Core CPI m/m,0.2%,0.2%,0.3%
jan16.2008,US CPI m/m,0.3%,0.2%,0.8%
jan16.2008,US Capacity Utilization Rate,81.4%,81.2%,81.6%
jan16.2008,US Industrial Production m/m,0.0%,-0.1%,0.3%
jan16.2008,US Crude Oil Inventories,4.3M,1.3M,-6.7M
jan16.2008,US Distillate Inventories,1.2M,1.3M,1.5M
jan16.2008,US Gasoline Inventories,2.2M,2.5M,5.2M
jan17.2008,US Natural Gas Storage,-59B,-60B,-171B
jan24.2008,US Crude Oil Inventories,2.3M,1.5M,4.3M
jan24.2008,US Distillate Inventories,-1.3M,0.0M,1.2M
jan24.2008,US Gasoline Inventories,5.1M,1.4M,2.2M
jan24.2008,US Natural Gas Storage,-155B,-159B,-59B
jan30.2008,US Advance GDP q/q,0.6%,1.2%,4.9%
jan30.2008,US Crude Oil Inventories,3.6M,2.0M,2.3M
jan30.2008,US Distillate Inventories,-1.5M,2.2M,-1.3M
jan30.2008,US Gasoline Inventories,3.6M,1.9M,5.1M
jan31.2008,EZ Consumer Confidence,-12,-10,-9
jan31.2008,US Natural Gas Storage,-274B,-257B,-155B
feb01.2008,US Average Hourly Earnings m/m,0.2%,0.3%,0.4%
feb01.2008,US Non-Farm Employment Change,-17K,65K,82K
feb01.2008,US Unemployment Rate,4.9%,5.0%,5.0%
feb01.2008,US ISM Manufacturing PMI,50.7,47.3,47.7
feb04.2008,US Factory Orders m/m,2.3%,2.3%,1.7%
feb05.2008,US ISM Services PMI,44.6,52.4,53.2
feb06.2008,US Crude Oil Inventories,7.0M,2.6M,3.6M
feb06.2008,US Distillate Inventories,0.1M,-2.1M,-1.5M
feb06.2008,US Gasoline Inventories,3.6M,1.9M,3.6M
feb07.2008,US Natural Gas Storage,-200B,-187B,-274B
feb08.2008,CA Employment Change,46.4K,10.0K,-18.7K
feb08.2008,CA Unemployment Rate,5.8%,6.0%,5.9%
feb13.2008,US Retail Sales m/m,0.3%,-0.2%,-0.4%
feb13.2008,US Crude Oil Inventories,1.1M,2.4M,7.0M
feb13.2008,US Distillate Inventories,-0.2M,-1.5M,0.1M
feb13.2008,US Gasoline Inventories,1.7M,1.5M,3.6M
feb14.2008,US Trade Balance,-58.8B,-61.8B,-63.1B
feb14.2008,US Natural Gas Storage,-120B,-117B,-200B
feb15.2008,US Capacity Utilization Rate,81.5%,81.4%,81.5%
feb15.2008,US Industrial Production m/m,0.1%,0.1%,0.1%
feb20.2008,US Core CPI m/m,0.3%,0.2%,0.2%
feb20.2008,US CPI m/m,0.4%,0.3%,0.3%
feb21.2008,US Crude Oil Inventories,4.2M,2.4M,1.1M
feb21.2008,US Distillate Inventories,-4.4M,-1.6M,-0.2M
feb21.2008,US Gasoline Inventories,1.0M,0.5M,1.7M
feb21.2008,US Natural Gas Storage,-172B,-174B,-120B
feb27.2008,US Crude Oil Inventories,3.2M,2.7M,4.2M
feb27.2008,US Distillate Inventories,-2.6M,-2.2M,-4.4M
feb27.2008,US Gasoline Inventories,2.3M,0.4M,1.0M
feb28.2008,US Natural Gas Storage,-151B,-157B,-172B
feb29.2008,EZ Consumer Confidence,-12,-12,-12
mar03.2008,US ISM Manufacturing PMI,48.3,48.0,50.7
mar05.2008,US Factory Orders m/m,-2.5%,-2.3%,2.0%
mar05.2008,US ISM Services PMI,49.3,47.6,44.6
mar05.2008,US Crude Oil Inventories,-3.1M,2.4M,3.2M
mar05.2008,US Distillate Inventories,-2.3M,-1.6M,-2.6M
mar05.2008,US Gasoline Inventories,1.7M,0.6M,2.3M
mar06.2008,US Natural Gas Storage,-135B,-143B,-151B
mar07.2008,CA Employment Change,43.3K,3.0K,46.4K
mar07.2008,CA Unemployment Rate,5.8%,5.9%,5.8%
mar07.2008,US Average Hourly Earnings m/m,0.3%,0.3%,0.3%
mar07.2008,US Non-Farm Employment Change,-63K,25K,-22K
mar07.2008,US Unemployment Rate,4.8%,5.0%,4.9%
mar11.2008,US Trade Balance,-58.2B,-59.5B,-57.9B
mar12.2008,US Crude Oil Inventories,6.2M,1.7M,-3.1M
mar12.2008,US Distillate Inventories,-1.2M,-2.0M,-2.3M
mar12.2008,US Gasoline Inventories,1.7M,0.1M,1.7M
mar13.2008,US Retail Sales m/m,-0.6%,0.2%,0.4%
mar13.2008,US Natural Gas Storage,-86B,-85B,-135B
mar14.2008,US Core CPI m/m,0.0%,0.2%,0.3%
mar14.2008,US CPI m/m,0.0%,0.3%,0.4%
mar17.2008,US Capacity Utilization Rate,80.9%,81.2%,81.5%
mar17.2008,US Industrial Production m/m,-0.5%,-0.1%,0.1%
mar19.2008,US Crude Oil Inventories,0.1M,2.3M,6.2M
mar19.2008,US Distillate Inventories,-2.9M,-1.5M,-1.2M
mar19.2008,US Gasoline Inventories,-3.4M,0.0M,1.7M
mar20.2008,US Natural Gas Storage,-85B,-45B,-86B
mar26.2008,US Crude Oil Inventories,0.1M,1.7M,0.1M
mar26.2008,US Distillate Inventories,-2.1M,-1.8M,-2.9M
mar26.2008,US Gasoline Inventories,-3.3M,-1.5M,-3.4M
mar27.2008,US Natural Gas Storage,-36B,-33B,-85B
mar31.2008,EZ Consumer Confidence,-12,-12,-12
apr01.2008,US ISM Manufacturing PMI,48.6,47.5,48.3
apr02.2008,US Factory Orders m/m,-1.3%,-0.8%,-2.3%
apr02.2008,US Crude Oil Inventories,7.3M,2.3M,0.1M
apr02.2008,US Distillate Inventories,-1.6M,-1.6M,-2.1M
apr02.2008,US Gasoline Inventories,-4.5M,-2.8M,-3.3M
apr03.2008,US ISM Services PMI,49.6,48.5,49.3
apr03.2008,US Natural Gas Storage,-29B,-34B,-36B
apr04.2008,CA Employment Change,14.6K,15.0K,43.3K
apr04.2008,CA Unemployment Rate,6.0%,5.8%,5.8%
apr04.2008,US Average Hourly Earnings m/m,0.3%,0.3%,0.3%
apr04.2008,US Non-Farm Employment Change,-80K,-50K,-76K
apr04.2008,US Unemployment Rate,5.1%,5.0%,4.8%
apr09.2008,US Crude Oil Inventories,-3.1M,2.3M,7.3M
apr09.2008,US Distillate Inventories,-3.7M,-1.5M,-1.6M
apr09.2008,US Gasoline Inventories,-3.4M,-3.0M,-4.5M
apr10.2008,US Trade Balance,-62.3B,-57.4B,-59.0B
apr10.2008,US Natural Gas Storage,-14B,-15B,-29B
apr14.2008,US Retail Sales m/m,0.2%,0.0%,-0.4%
apr16.2008,US Core CPI m/m,0.2%,0.2%,0.0%
apr16.2008,US CPI m/m,0.3%,0.3%,0.0%
apr16.2008,US Capacity Utilization Rate,80.5%,80.3%,80.3%
apr16.2008,US Industrial Production m/m,0.3%,-0.1%,-0.7%
apr16.2008,US Distillate Inventories,0.1M,-1.6M,-3.7M
apr16.2008,US Gasoline Inventories,-5.5M,-1.8M,-3.4M
apr16.2008,US Crude Oil Inventories,-2.4M,1.8M,-3.1M
apr17.2008,US Natural Gas Storage,27B,16B,-14B
apr23.2008,US Crude Oil Inventories,2.4M,1.5M,-2.4M
apr23.2008,US Distillate Inventories,-1.4M,-0.1M,0.1M
apr23.2008,US Gasoline Inventories,-3.2M,-2.0M,-5.5M
apr24.2008,US Natural Gas Storage,24B,22B,27B
apr30.2008,EZ Consumer Confidence,-12,-13,-12
apr30.2008,US Advance GDP q/q,0.6%,0.2%,0.6%
apr30.2008,US Crude Oil Inventories,3.8M,0.9M,2.4M
apr30.2008,US Distillate Inventories,1.1M,-0.3M,-1.4M
apr30.2008,US Gasoline Inventories,-1.5M,-0.9M,-3.2M
may01.2008,US ISM Manufacturing PMI,48.6,48.0,48.6
may01.2008,US Natural Gas Storage,86B,30B,24B
may02.2008,US Average Hourly Earnings m/m,0.1%,0.3%,0.3%
may02.2008,US Non-Farm Employment Change,-20K,-80K,-81K
may02.2008,US Unemployment Rate,5.0%,5.2%,5.1%
may02.2008,US Factory Orders m/m,1.4%,0.2%,-0.9%
may05.2008,US ISM Services PMI,52.0,49.1,49.6
may07.2008,US Crude Oil Inventories,5.7M,1.6M,3.8M
may07.2008,US Distillate Inventories,-0.1M,-1.1M,1.1M
may07.2008,US Gasoline Inventories,0.8M,0.1M,-1.5M
may08.2008,US Natural Gas Storage,65B,71B,86B
may09.2008,CA Employment Change,19.2K,10.0K,14.6K
may09.2008,CA Unemployment Rate,6.1%,6.0%,6.0%
may09.2008,US Trade Balance,-58.2B,-61.4B,-61.7B
may13.2008,US Retail Sales m/m,-0.2%,-0.2%,0.2%
may14.2008,US Core CPI m/m,0.1%,0.2%,0.2%
may14.2008,US CPI m/m,0.2%,0.3%,0.3%
may14.2008,US Crude Oil Inventories,0.2M,2.2M,5.7M
may14.2008,US Distillate Inventories,1.3M,1.3M,-0.1M
may14.2008,US Gasoline Inventories,-1.7M,-0.2M,0.8M
may15.2008,US Capacity Utilization Rate,79.7%,80.1%,80.4%
may15.2008,US Industrial Production m/m,-0.7%,-0.3%,0.2%
may15.2008,US Natural Gas Storage,93B,88B,65B
may21.2008,US Crude Oil Inventories,-5.4M,0.5M,0.2M
may21.2008,US Distillate Inventories,0.7M,1.4M,1.3M
may21.2008,US Gasoline Inventories,-0.8M,0.3M,-1.7M
may22.2008,US Natural Gas Storage,85B,85B,93B
may29.2008,EZ Consumer Confidence,-15,-12,-12
may29.2008,US Crude Oil Inventories,-8.8M,-0.3M,-5.4M
may29.2008,US Distillate Inventories,1.6M,1.0M,0.7M
may29.2008,US Gasoline Inventories,-3.3M,0.0M,-0.8M
may29.2008,US Natural Gas Storage,87B,84B,85B
jun02.2008,US ISM Manufacturing PMI,49.6,48.6,48.6
jun03.2008,US Factory Orders m/m,1.1%,0.0%,1.5%
jun04.2008,US ISM Services PMI,51.7,51.0,52.0
jun04.2008,US Crude Oil Inventories,-4.8M,1.1M,-8.8M
jun04.2008,US Distillate Inventories,2.3M,1.7M,1.6M
jun04.2008,US Gasoline Inventories,2.9M,1.5M,-3.3M
jun05.2008,US Natural Gas Storage,105B,103B,87B
jun06.2008,CA Employment Change,8.4K,10.0K,19.2K
jun06.2008,CA Unemployment Rate,6.1%,6.1%,6.1%
jun06.2008,US Average Hourly Earnings m/m,0.3%,0.2%,0.1%
jun06.2008,US Non-Farm Employment Change,-49K,-57K,-28K
jun06.2008,US Unemployment Rate,5.5%,5.1%,5.0%
jun10.2008,US Trade Balance,-60.9B,-59.5B,-56.5B
jun11.2008,US Crude Oil Inventories,-4.6M,-0.9M,-4.8M
jun11.2008,US Distillate Inventories,2.3M,2.0M,2.3M
jun11.2008,US Gasoline Inventories,1.0M,0.9M,2.9M
jun12.2008,US Retail Sales m/m,1.0%,0.5%,0.4%
jun12.2008,US Natural Gas Storage,80B,94B,105B
jun13.2008,US Core CPI m/m,0.2%,0.2%,0.1%
jun13.2008,US CPI m/m,0.6%,0.5%,0.2%
jun17.2008,US Capacity Utilization Rate,79.4%,79.7%,79.6%
jun17.2008,US Industrial Production m/m,-0.2%,0.1%,-0.7%
jun18.2008,US Crude Oil Inventories,-1.2M,-1.5M,-4.6M
jun18.2008,US Distillate Inventories,2.6M,1.8M,2.3M
jun18.2008,US Gasoline Inventories,-1.2M,0.9M,1.0M
jun19.2008,US Natural Gas Storage,57B,61B,80B
jun25.2008,US Crude Oil Inventories,0.8M,-0.1M,-1.2M
jun25.2008,US Distillate Inventories,2.8M,2.0M,2.6M
jun25.2008,US Gasoline Inventories,-0.2M,0.0M,-1.2M
jun26.2008,US Natural Gas Storage,90B,90B,57B
jun27.2008,EZ Consumer Confidence,-17,-16,-15
jul01.2008,US ISM Manufacturing PMI,50.2,48.6,49.6
jul02.2008,US Factory Orders m/m,0.6%,0.4%,1.3%
jul02.2008,US Crude Oil Inventories,-2.0M,-0.1M,0.8M
jul02.2008,US Distillate Inventories,1.3M,1.5M,2.8M
jul02.2008,US Gasoline Inventories,2.1M,0.5M,-0.2M
jul03.2008,US Average Hourly Earnings m/m,0.3%,0.3%,0.3%
jul03.2008,US Non-Farm Employment Change,-62K,-60K,-62K
jul03.2008,US Unemployment Rate,5.5%,5.4%,5.5%
jul03.2008,US ISM Services PMI,48.2,51.1,51.7
jul03.2008,US Natural Gas Storage,85B,89B,90B
jul09.2008,US Crude Oil Inventories,-5.9M,-1.5M,-2.0M
jul09.2008,US Distillate Inventories,1.8M,2.1M,1.3M
jul09.2008,US Gasoline Inventories,0.9M,0.1M,2.1M
jul10.2008,US Natural Gas Storage,90B,95B,85B
jul11.2008,CA Employment Change,-5.0K,10.0K,8.4K
jul11.2008,CA Unemployment Rate,6.2%,6.1%,6.1%
jul11.2008,US Trade Balance,-59.8B,-62.5B,-60.5B
jul15.2008,US Retail Sales m/m,0.1%,0.4%,0.8%
jul16.2008,US Core CPI m/m,0.3%,0.2%,0.2%
jul16.2008,US CPI m/m,1.1%,0.7%,0.6%
jul16.2008,US Capacity Utilization Rate,79.9%,79.3%,79.6%
jul16.2008,US Industrial Production m/m,0.5%,0.0%,-0.2%
jul16.2008,US Crude Oil Inventories,3.0M,-1.2M,-5.9M
jul16.2008,US Distillate Inventories,3.2M,2.1M,1.8M
jul16.2008,US Gasoline Inventories,2.5M,-0.8M,0.9M
jul17.2008,US Natural Gas Storage,104B,88B,90B
jul23.2008,US Crude Oil Inventories,-1.6M,-0.7M,3.0M
jul23.2008,US Distillate Inventories,2.4M,2.5M,3.2M
jul23.2008,US Gasoline Inventories,2.8M,0.2M,2.5M
jul24.2008,US Natural Gas Storage,84B,83B,104B
jul30.2008,EZ Consumer Confidence,-20,-19,-17
jul30.2008,US Crude Oil Inventories,-0.1M,-1.4M,-1.6M
jul30.2008,US Distillate Inventories,2.4M,2.1M,2.4M
jul30.2008,US Gasoline Inventories,-3.5M,0.3M,2.8M
jul31.2008,US Advance GDP q/q,1.9%,2.2%,1.0%
jul31.2008,US Natural Gas Storage,65B,69B,84B
aug01.2008,US Average Hourly Earnings m/m,0.3%,0.3%,0.3%
aug01.2008,US Non-Farm Employment Change,-51K,-75K,-51K
aug01.2008,US Unemployment Rate,5.7%,5.6%,5.5%
aug01.2008,US ISM Manufacturing PMI,50.0,49.4,50.2
aug04.2008,US Factory Orders m/m,1.7%,0.7%,0.9%
aug05.2008,US ISM Services PMI,49.5,48.6,48.2
aug06.2008,US Crude Oil Inventories,1.7M,0.1M,-0.1M
aug06.2008,US Distillate Inventories,2.8M,2.0M,2.4M
aug06.2008,US Gasoline Inventories,-4.3M,-1.5M,-3.5M
aug07.2008,US Natural Gas Storage,56B,60B,65B
aug08.2008,CA Employment Change,-55.2K,5.0K,-5.0K
aug08.2008,CA Unemployment Rate,6.1%,6.2%,6.2%
aug12.2008,US Trade Balance,-56.8B,-61.8B,-59.2B
aug13.2008,US Retail Sales m/m,-0.1%,0.0%,0.3%
aug13.2008,US Crude Oil Inventories,-0.4M,-0.1M,1.7M
aug13.2008,US Distillate Inventories,-1.8M,2.0M,2.8M
aug13.2008,US Gasoline Inventories,-6.4M,-1.5M,-4.3M
aug14.2008,US Core CPI m/m,0.3%,0.2%,0.3%
aug14.2008,US CPI m/m,0.8%,0.4%,1.1%
aug14.2008,US Natural Gas Storage,50B,53B,56B
aug15.2008,US Capacity Utilization Rate,79.9%,79.8%,79.8%
aug15.2008,US Industrial Production m/m,0.2%,0.0%,0.4%
aug20.2008,US Crude Oil Inventories,9.4M,0.7M,-0.4M
aug20.2008,US Distillate Inventories,0.5M,1.0M,-1.8M
aug20.2008,US Gasoline Inventories,-6.2M,-2.9M,-6.4M
aug21.2008,US Natural Gas Storage,88B,82B,50B
aug27.2008,US Crude Oil Inventories,-0.1M,0.9M,9.4M
aug27.2008,US Distillate Inventories,0.1M,0.6M,0.5M
aug27.2008,US Gasoline Inventories,-1.2M,-2.4M,-6.2M
aug28.2008,US Natural Gas Storage,102B,84B,88B
aug29.2008,EZ Consumer Confidence,-19,-20,-20
